strong	scent,5
poor	elevator,3
friendly	guard,5
friendly	bellhops,3
smoke	detectors,5
pleasant	hotels,5
smelly	room,13
wrong	room,28
worn	carpets,6
worth	every,5
bad	springs,3
unpleasant	staff,3
clean	time,3
ridiculous	charges,5
overwhelming	smell,3
rough	round,6
cheerful	reviews,5
excellent	pizzas,3
lazy	cleaner,5
dirty	water,3
better	facilities,3
bad	review,11
unexpected	prison,3
noisy	school,3
unhappy	customers,5
better	reception,5
fine	room,23
fierce	shower,3
great	right,5
bent	coat,5
nice	linens,3
warm	bed,5
great	expense,5
helpful	attitude,3
correct	time,4
cheap	food,3
perfect	value,5
good	point,8
top	room,6
shady	residents,5
bad	nights,6
great	water,12
useful	items,3
good	level,3
helpful	man,6
greatest	disappointment,2
noisy	dirty,3
nervous	breakdown,5
luxury	past,3
fun	part,5
super	luxury,6
bad	reviews,199
reasonable	decent,3
handy	spot,3
lovely	time,3
friendly	receptionist,3
nice	boutique,3
lovely	receptionist,8
allergic	reaction,21
unpleasant	time,6
cheap	motels,5
reasonable	eat,3
dirty	lobby,10
weird	cuz,5
expensive	hotels,13
sharp	ironing,3
fresh	paint,13
worst	day,3
incorrect	directions,3
great	activity,5
bad	plumming,5
nice	takeaways,3
quiet	cresent,3
best	motivation,5
hard	shoulder,5
arrogant	bunch,3
dusty	carpet,5
courteous	cant,3
tired	lookin,3
cold	tap,10
enough	money,23
noisy	guests,6
peaceful	time,11
critical	wot,3
fresh	towells,3
itchy	rash,5
bad	asthma,3
great	shower,4
cheap	soap,13
noisy	teenagers,3
crappy	hotels,5
best	review,3
scary	time,5
nasty	dumps,5
enough	room,39
portable	tv,3
solid	stream,5
saver	room,3
strange	guests,8
fat	woman,5
reasonable	expections,5
stark	contrast,5
dubious	stains,3
super	travel,3
amazing	base,5
slowest	snail,3
broken	leg,3
proper	staff,5
appropriate	room,3
rubbish	carpets,3
faulty	water/heating,3
comfortable	beds,21
happy	bunch,3
great	tasting,3
good	attitude,3
favorite	travel,5
honest	account,10
great	places,3
disgusting	sleeze,5
negative	point,3
cheap	room,292
good	surprise,3
cheap	cheap,3
unknown	substance,3
polite	guys,3
poor	state,6
ignorant	staff,5
positive	side,11
unreliable	elevators,5
nightmare	reviews,5
nice	doorman,5
hard	heart,5
accurate	picture,3
good	room,172
decent	luxury,3
dusty	skirting,5
surreal	tour,5
hot	food,22
excellent	buffet,3
positive	point,3
false	pretense,5
right	leg,13
worst	taste,5
like	concrete,3
clean	linen,38
hard	job,5
enjoyable	time,3
cautionary	note,5
miserable	nights,8
cheaper	options,3
dirty	brown,2
poor	community,3
good	english,3
excellent	cafe,3
bright	lights,5
run-down	establishment,3
great	bell,5
wrong	time,3
fancy	fancy,3
flashy	things,3
romantic	time,8
dead	hooker,5
better	frentch,3
ample	supplies,3
positive	part,8
fantastic	hotels,8
horrible	smell,3
quiet	road,6
good	queen,5
filthy	carpet,65
tolerable	people,3
poor	student,5
checkered	floor,3
noisy	outside,3
helpful	person,8
pretty	shabby,5
proper	bath,3
better	position,5
flakey	paint,8
fresh	mortar,3
sharp	nails,5
good	effect,5
fast	elevators,8
wrong	floor,13
weird	retro,5
decent	hotels,24
bad	news,8
broken	curtain,3
good	rant,5
leaky	ceiling,3
adequate	closet,3
cheap	hooker,5
odd	trash,5
great	condition,5
cheapest	prices,5
cold	buffett,3
rough	places,5
pretty	things,5
tacky	lobby,5
decent	amount,8
negative	i,3
bother	complaining,5
sick	stains,3
cheap	go,5
hard	rock,5
good	thou,3
great	package,5
romantic	journey,5
rude	reception,5
nicer	ones,3
fair	comment,3
great	picture,5
loud	neighbors,5
bad	reputation,8
easy	check-in/out,3
wrong	travel,3
broken	lightbulb,5
cheap	bed,3
best	hotle,5
favour	find,3
right	next,5
fancy	hotels,5
positive	time,49
poor	post,5
interesting	time,5
crowded	room,3
weird	reason,5
romantic	get,3
ideal	room,5
fond	memories,5
flimsy	lock,5
cold	rainy,3
reasonable	prices,22
wonderful	time,23
positive	note,14
better	description,10
disturbing	smells,5
foul	odour,3
popular	points,3
worn	towels,5
unhealthy	environment,3
steady	improvement,3
negative	sign,5
famous	phone,3
grand	lobby,3
abusive	receptionist,5
horrendous	paint,3
loved	ones,5
great	memories,3
loud	noises,10
mysterious	water,5
aggressive	man,3
good	money,3
poor	plumbing,8
good	refurbishment,3
good	rates,5
quiet	base,3
good	polish,3
hard	pillows,6
scary	movie,5
odd	flake,3
quiet	room,44
nice	man,10
awful	journey,3
tired	room,11
free	access,9
fresh	towel,3
weird	noises,5
loud	buzzing,3
rude	behaviour,3
broken	hinge,3
atrocious	level,3
strange	instect,5
rude	people,3
weak	moment,5
bad	mood,8
suitable	room,8
wrong	queue,3
clean	location,3
worse	breakfasts,3
nicer	places,10
excellent	value,39
good	locations,3
nicest	people,5
cheap	herald,5
suitable	twin,5
pleasant	time,30
unlikely	guest,5
cheap	backpackers,5
filthy	sheets,58
poor	reviews,9
cheap	nyc,5
dangerous	room,6
loose	change,3
luxurious	surroundings,3
cleaner	supervision,3
frozen	fish,3
worse	i,3
dilapidated	conditions,5
decent	reception,8
powerful	water,5
negative	comment,3
wrong	reasons,5
cold	months,5
enough	lifts,3
great	sandwiches,5
clean	towels,263
loose	tiles,3
proper	bargain,3
spectacular	value,3
handsome	lobby,3
run-down	hotels,5
reasonable	size,9
good	brush,3
dead	bodies,5
bad	feedback,3
bad	paintwork,3
boiling	days,5
bad	luck,3
soft	double,3
good	security,5
false	sense,3
dirty	air,3
free	wi,3
sweet	note,5
nice	woman,3
clean	facilities,3
complimentary	soap,10
intelligent	people,5
reasonable	degree,3
cramped	room,3
nice	pubs,3
significant	water,5
retractable	clothes,3
nice	everytime,5
valuable	goods,5
negative	feeling,3
perfect	hotels,5
awful	form,3
handy	larg,5
polite	receptionist,8
great	value,157
suspicious	hairs,5
good	vacuum-,5
free	number,5
cold	chips,3
excellent	travel,3
portable	fan,3
top	notch,11
greasy	eat,5
broken	frame,5
classy	establishment,5
horrible	stains,3
positive	mention,3
lousy	reception,5
bad	electrics,3
worse	hotels,24
unpleasant	london,3
bad	staff,13
inconsiderate	people,3
top	priority,5
utterly	beneath,5
good	bits,3
hard	side,3
greasy	cafe,5
good	bars,3
frightful	location,3
bloody	freezing,3
odd	delay,3
sour	taste,10
bad	base,3
pest	control,8
good	clean/,3
broken	breakfast,3
free	toiletries,9
nicer	broadway,5
reasonable	pick,3
right	opposite,6
decent	location,50
dirty	marks,5
cheap	ones,3
sufficient	number,2
proper	wardrobes,6
great	run,5
great	room,118
ideal	base,3
perfect	solution,3
worst	part,10
expensive	internet,3
good	tube,3
hideous	bites,5
clean	basic,3
free	towels,5
nasty	front,5
nice	places,6
bad	time,196
stale	urine,3
sufficient	cups,3
loud	msic,3
poor	standards,3
slow	agents,3
enough	revenue,5
awful	room,125
wrong	voucher,5
good	use,3
affordable	value,11
filthy	slept,5
good	food,14
famous	chain,3
nice	europe,5
bad	taste,14
quieter	side,5
accurate	ones,5
cracked	tiles,3
dirty	cotton,5
modern	suite,3
best	entertainment,5
hot	chocolate,3
cheap	-we,3
loud	outside,5
rude	women,5
annoyed	rep,3
weak	breakfast,5
broken	loo,3
strange	reason,3
flashy	kind,3
rotten	carpets,5
unhappy	family,5
weak	water,3
crowded	travel,5
worst	case,5
fantastic	times,10
inattentive	staff,5
fancier	bedcovers,3
terrible	doors,3
good	job,11
modern	travelodges,3
enough	reputations,5
clean	sheet,5
lumpy	pillows,3
noisy	heater,3
finest	hotels,3
dirty	teaspoon,3
impressive	room,3
pleasant	surprise,22
fatty	meat,3
hot	items,3
wonderful	nights,6
horrible	sound,3
super	location,3
good	scrub,6
good	views,3
dusty	furniture,3
fancy	laptop,5
poor	boys,5
better	choices,3
lovely	wad,5
positive	one,5
portable	smoke,3
loud	music,3
negative	factors,5
naive	people,3
good	look,6
great	need,3
trash	room,3
dead	bugs,8
nice	evening,3
nice	lobby,6
hot	plentiful,3
scam	artists,5
great	tea/coffee,3
good	itch,3
scary	brown,3
favour	boardway,5
horrible	establishment,5
good	journey,5
uncomfortable	one,5
negative	side,6
broken	shower,8
super	cheap,8
compact	room,3
disgusting	room,69
good	reviews,18
interesting	decor,5
modern	decor,3
great	cafe,3
good	resturaunts,5
unfriendly	room,10
broken	muffins,3
lucky	friends,5
broken	toilets,5
free	pizza,5
negative	things,11
disgruntled	punters,5
broken	mirror,5
best	laugh,3
chic	goods,5
soft	drinks,3
great	showers,5
nice	online,5
smart	photos,2
scary	something,5
filthy	dirty,33
fantastic	position,3
illegal	aliens,5
free	location,5
lovely	temperature,5
warm	beer,3
dim	brown,3
noisy	people,3
good	cause,5
hopeful	things,3
unwanted	company,5
nicest	part,6
good	update,3
restful	haven,3
poor	reveiw,3
rude	receptionist,7
tough	cookie,3
enough	time,5
decent	pictures,5
memorable	time,8
unhelpful	receptionist,3
wild	stuff,5
fresh	clean,5
disabled	bedroom,3
loud	ac,3
interesting	things,5
wonderful	things,5
enough	towels,16
wrong	alarm,5
sticky	puddle,5
happy	days,5
fussy	time,3
nice	dinner,5
better	ask,5
good	shape,13
good	water,5
dead	cockroach,28
decent	environment,3
oversize	furniture,3
cheaper	room,10
promised	refrigerator,3
expensive	tours,3
good	trip,10
reputable	company,3
good	cafes,3
dust	infestation,5
worried	i,3
nice	value,36
nice	marble,3
clear	indication,5
greasy	foods,3
poor	lighting,6
clean	tower,5
friendly	egyptians,5
bad	rap,5
glamorous	room,3
free	breakfast,32
top	staff,5
safe	walking,3
right	folks,5
good	facilites,3
unknown	aromas,3
lovely	gershwin,5
good	soak,3
nicer	hostel,3
decent	bite,3
cold	wind,3
hot	air,11
